title	1	2	3	FeZn	Ag	Au	Cu	Fe	In	Mo	Ni	Pb	Sn	Ti	W	Zn	Zr	Magnet	OhneMagnet
114	1841	114	166	641	10	26	131	2463	4	29	1374	40	13	44	44	122	42	272	53
115	1654	116	169	540	7	28	110	1992	8	20	2050	32	8	39	56	95	42	226	56
116	1376	120	180	454	21	28	117	1652	16	20	3165	41	10	45	62	114	36	220	64
117	1167	141	178	380	19	31	125	1306	10	39	4463	39	9	47	67	131	41	215	70
118	1029	128	194	291	27	33	157	989	8	33	5614	42	7	30	70	117	43	180	77
119	830	195	243	216	17	48	186	764	13	34	6523	60	6	45	81	139	48	172	90
120	741	258	271	160	25	46	267	580	5	36	7027	54	13	28	95	133	40	189	137
121	622	410	366	152	27	61	434	436	13	35	6836	64	16	35	103	190	55	223	160
122	493	650	512	109	26	55	783	329	24	38	6241	87	15	49	82	220	60	270	229
123	375	1091	767	98	26	57	1332	268	42	37	5124	102	20	39	91	277	45	363	348
124	264	1683	1054	89	33	106	2163	233	42	54	4192	145	37	46	80	369	53	459	442
125	216	2414	1593	68	32	99	2993	205	55	62	3150	198	42	56	88	525	72	589	633
126	209	3080	2007	61	37	123	4027	173	92	82	2462	275	61	60	106	607	79	740	798
127	191	3653	2493	83	46	149	5001	153	103	91	1829	280	79	78	127	788	86	924	927
128	163	4230	2726	75	53	161	5258	160	133	95	1517	368	97	81	199	911	95	907	987
129	158	4318	2822	104	57	148	5456	143	145	105	1349	415	99	77	342	1029	98	952	927
130	140	4065	2676	129	64	188	5032	128	136	108	1254	398	106	52	502	1283	86	912	859
131	142	3838	2607	150	57	147	4373	108	144	92	1183	325	87	60	666	1503	83	731	763
132	139	3348	2410	219	39	165	3664	119	118	92	1207	310	80	50	849	2121	87	656	682
133	100	2976	2240	281	42	160	2898	108	92	68	1044	241	83	38	1002	2758	90	490	569
134	100	2824	2127	310	34	127	2078	108	73	42	852	180	46	26	1099	3549	81	432	433
135	114	2803	2209	382	21	112	1479	127	56	44	664	142	39	24	1087	4374	79	327	350
136	97	2759	2186	411	24	110	1160	117	40	51	548	125	35	22	975	5045	124	281	278
137	90	2607	2080	346	17	134	898	133	45	58	407	99	28	23	836	5469	163	244	270
138	76	2605	2077	351	23	129	784	163	41	66	298	105	29	23	680	5150	217	246	243
139	67	2294	1856	302	17	134	774	169	46	78	202	95	51	31	511	4550	267	238	242
140	98	1973	1608	219	21	151	791	157	39	79	143	111	29	13	369	3807	331	261	236
141	84	1721	1352	171	21	141	860	149	58	111	103	102	45	21	276	2953	333	231	218
142	76	1343	1086	134	19	154	743	147	42	98	82	130	33	17	182	2206	342	208	177
143	86	1027	845	104	12	158	725	124	49	109	64	131	26	21	114	1619	293	186	174
144	79	753	651	82	14	134	525	144	20	88	47	119	23	9	87	1058	254	156	157
145	110	560	444	64	10	136	478	115	36	71	41	141	27	20	97	884	256	116	125
146	95	416	345	70	16	146	344	123	27	45	37	117	19	15	121	670	168	99	109
147	104	315	210	54	19	211	229	120	20	63	28	105	11	12	194	591	100	87	86
148	114	263	223	80	11	312	149	131	12	29	26	100	11	7	315	690	110	59	56
149	104	230	191	73	15	416	101	133	8	23	20	72	12	12	399	758	97	61	72
150	105	186	145	65	20	556	63	168	12	30	19	69	4	5	545	785	77	54	58
151	115	170	144	77	16	687	33	184	17	30	22	52	6	4	665	672	53	60	49
152	117	165	128	67	18	845	29	222	6	37	23	53	15	13	728	717	33	52	44
153	110	177	114	74	24	860	16	222	7	31	16	36	5	7	869	596	50	54	54
154	125	130	101	71	25	877	17	224	24	21	24	47	8	13	823	475	54	40	49
155	109	93	73	68	29	697	14	244	16	26	13	48	6	6	772	344	28	37	46
156	114	60	63	60	19	628	21	233	7	33	17	55	4	6	700	219	30	42	39
157	126	44	40	46	16	495	9	192	5	24	11	77	6	5	542	168	31	40	43
158	91	29	35	34	18	345	15	218	9	14	19	97	14	4	425	122	34	40	35
159	105	32	26	37	18	264	14	184	5	25	18	183	9	11	354	78	18	35	41
160	90	18	20	46	6	187	10	172	7	11	15	289	12	8	230	41	18	32	40
161	94	18	26	22	12	131	10	149	9	13	19	399	13	4	178	41	20	24	29
162	80	22	20	18	8	94	9	143	10	17	16	564	4	5	98	31	17	43	33
163	62	11	16	32	5	56	7	133	6	14	14	751	2	5	85	21	15	19	40
164	80	20	24	25	6	40	12	103	3	16	13	838	8	3	34	20	12	41	35
165	80	16	21	19	5	38	13	129	7	12	18	930	12	2	35	12	21	27	32
166	74	14	25	17	5	22	10	92	2	16	27	821	7	1	19	13	21	33	46
167	74	8	23	20	6	37	9	97	5	12	16	780	13	5	16	12	14	33	38
168	66	12	20	26	7	45	12	69	6	8	19	666	11	8	8	7	26	42	28
169	67	12	15	13	6	32	12	75	3	10	20	554	12	7	19	13	24	22	34
170	55	11	10	7	15	42	9	83	5	8	17	377	11	2	24	18	28	23	33
171	51	10	13	15	8	68	10	62	8	11	22	233	9	4	32	8	27	25	27
172	38	6	7	13	7	118	12	47	6	11	32	197	5	5	43	14	20	34	38
173	40	14	12	10	16	176	12	59	9	12	34	94	7	0	43	9	32	32	34
174	48	7	7	13	16	221	9	67	7	25	35	80	5	3	67	6	21	35	40
175	50	11	5	11	14	300	9	57	6	19	43	48	6	2	66	14	34	35	43
176	39	6	12	18	11	397	7	43	3	24	54	37	12	2	60	12	38	48	51
177	42	7	11	11	6	463	6	52	11	29	53	46	9	4	70	14	49	39	40
178	43	6	11	14	13	459	10	47	6	23	51	47	8	5	76	7	49	32	65
179	41	7	11	18	17	488	5	56	12	25	52	22	5	4	61	7	50	39	51
180	45	16	8	16	8	441	8	62	5	28	68	31	8	2	56	9	37	33	96
181	36	10	7	23	13	413	11	47	9	16	54	29	3	1	44	13	48	32	73
182	44	11	12	27	7	316	7	37	8	13	45	26	7	5	33	9	36	35	86
183	34	8	10	24	9	276	8	63	7	18	32	25	9	2	34	8	37	23	114
184	38	16	8	15	6	189	22	63	6	13	49	41	6	1	27	9	29	22	94
185	25	10	6	17	3	154	12	58	6	17	44	38	2	5	30	9	24	41	110
186	29	17	7	18	6	102	21	44	8	10	39	58	8	3	7	5	34	33	108
187	35	13	19	15	7	59	22	82	3	14	41	62	6	3	10	5	24	34	77
188	26	17	16	18	9	39	16	53	4	8	34	100	9	2	7	5	30	23	72
189	36	22	15	11	5	26	23	76	8	16	30	144	4	1	5	12	27	29	74
190	36	23	17	21	6	20	22	59	5	9	16	214	6	3	5	11	20	37	51
191	37	24	26	13	5	10	31	55	5	8	25	287	2	4	5	8	18	22	39
192	38	28	21	21	4	14	30	68	6	10	24	378	6	4	3	14	21	29	44
193	34	32	27	15	9	7	24	81	6	13	26	496	3	1	2	10	27	36	33
194	26	25	31	16	10	8	27	55	8	10	22	505	1	4	3	13	21	35	35
195	21	34	20	12	10	14	24	47	11	18	19	481	6	2	3	14	21	22	32
196	23	22	27	19	8	14	18	53	4	10	13	503	5	0	1	12	12	30	22
197	28	28	28	10	5	12	26	52	4	11	21	439	3	7	2	24	23	28	30
198	27	30	25	10	9	6	22	46	6	11	22	337	4	4	0	34	22	26	34
